Year,Land_Based,Sea_Based,Total_Deployed,Remittances
1975,12501,23534,36035,103
1976,19221,28614,47835,111
1977,3766,33699,37465,213
1978,50961,37280,88241,290.85
1979,92519,44818,137337,364.74
1980,157394,57196,214590,421.3
1981,210936,53307,264243,545.87
1982,250115,64169,314284,810.48
1983,380263,53594,433857,944.45
1984,300378,50604,350982,658.89
1985,320494,52290,372784,687.2
1986,323517,54697,378214,680.44
1987,382229,67042,449271,791.91
1988,357117,85913,443030,856.81
1989,355346,103280,458626,973.02
1990,334883,111212,446095,1181.07
1991,489260,125759,615019,1500.29
1992,549655,136806,686461,2202.38
1993,550872,145458,696330,2229.58
1994,564031,154376,718407,2630.11
1995,488173,165401,653574,4877.51
1996,484653,175469,660122,4306.64
1997,559227,188469,747696,5741.84
1998,638343,193300,831643,7367.99
1999,640331,196689,837020,6794.55
2000,662648,198324,860972,6050.45
2001,662648,204591,867239,6031.27
2002,682315,209593,891908,6886.26
2003,651938,216031,867969,7578.46
2004,704586,229002,933588,8550.37
2005,740632,247983,988615,10689.00 
2006,788070,274497,1062567,12761.31
2007,811070,266553,1077623,14449.93
2008,974399,261614,1236013,16426.85
2009,1092162,330424,1422586,17348.05
2010,1123676,347150,1470826,18762.98
