Country,,,,2004,2005,2006,2007,2008,2009,2010,2011
All Destination -Total,,,,704.6,740.4,788.1,811.1,974.4,1092.2,1123.7,1318.7
Saudi Arabia,,,,118.1,194.4,223.5,238.4,275.9,219.4,293.0 ,311.6
United Arab Emirates,,,,68.4,82.0 ,99.2,120.7,193.8,196.8,201.2,225.7
"Hong Kong, China",,,,87.3,98.7,96.9,59.2,78.3,100.1,101.3,108.6
Qatar,,,,21.4,31.4,45.8,56.3,84.3,89.3,87.8,96.4
Singapore,,,,22.2,28.2,28.4,49.4,41.7,54.4,70.3,119.5
Kuwait,,,,36.6,40.3,47.9,37.1,38.9,45.9,53.0 ,65.0 
"Taiwan,China",,,,45.1,46.7,39.0 ,37.1,38.5,33.8,36.9,41.9
Italy,,,,23.3,21.3,25.4,17.9,22.6,23.3,25.5,31.4
Bahrain,,,,8.3,10.0 ,11.7,9.9,13.1,15.0 ,15.4,17.8
Canada,,,,4.5,3.6,6.5,12.4,17.4,17.3,13.9,16.6
